RT @telesurenglish: #Bolivia | Interior Minister Arturo Murillo blamed the people for dying from #COVID19. #Coronavirus #pandemic  https://…,5682,14,Eire353,"['Bolivia', 'COVID19', 'Coronavirus', 'pandemic']"
#Israel facing #corona catastrophe - #covid19 #coronavirus https://t.co/gFl9BgfgDi,45,0,IsraelBayit,"['Israel', 'corona', 'covid19', 'coronavirus']"
RT @Wotsgoinon2: #melbournelockdown  #MELBOURNESCOVIDPRISONS  #COVID19  #Plandemic2020 https://t.co/uOhPASn9Z2,45166,1,CllrBSilvester,"['melbournelockdown', 'MELBOURNESCOVIDPRISONS', 'COVID19', 'Plandemic2020']"
RT @hgilberds: Global international assistance to media is less than 0.3% of total ODA. #COVID19 shows why increased commitment and long-te…,923,2,NieuwBloem,['COVID19']
RT @AzeefaFathima: #Virudhunagar dist administration is making efforts to increase the number of #COVID19 beds in the district but what abo…,8,6,kumarnirmal55,"['Virudhunagar', 'COVID19']"
Los centros administrativos del @toledoayto refuerzan su seguridad para el personal y los ciudadanos con nuestro certificado #EspacioControlado #COVID19 minimizando el riesgo de contagio del SARS-CoV-2. https://t.co/siPwnYlE4O,4885,0,cualtis,"['EspacioControlado', 'COVID19']"
The countries which are in high risk of #COVID19 should follow the steps of Newzealand pandemic plan. @RAKRI1 https://t.co/i8tqNOCBBD,51,0,GeethJaps,['COVID19']
RT @HughAWilliamson: Good move - In Russia an activist and a politician have challenged Moscow’s Use of Facial Recognition Technology in Eu…,160,19,grandtheftputo,[]
RT @BarretoSira: #Atención #Anzoátegui #7Julio Importante información #Covid19.  Tenemos hoy 6 casos nuevos positivos.  2 importados de Col…,1246,68,VictorRMarcanoR,"['Atención', 'Anzoátegui', '7Julio', 'Covid19']"
RT @SwatiLakra_IPS: Leveraging technology to trace missing children.  Taking #OperationMuskan forward during the pandemic #COVID19  Updatin…,25,35,lac_slsh,"['OperationMuskan', 'COVID19']"
@NSWHealth Option 1 community wears masks for two weeks while we wait to see what the damage is... Option 2 wait to see what the damage is and then lockdown NSW for six weeks.... #covid19,222,0,NjbBari3,['covid19']
"RT @GarciaVictor_: A quel point le #COVID19 est-il mortel ? L'est-il plus que la tuberculose, les diabètes, la grippe saisonnière, les homi…",74,3,SofianeDouhi,['COVID19']
RT @desdelamoncloa: Ya puedes consultar en el @boegob el RDL de medidas aprobado por el Gobierno para reforzar la reactivación económica fr…,4268,20,WillyLozano,[]
RT @JermainJackman: 61% of students expect to struggle to find employment &amp; 48% are worried how they're going to continue paying rent I'm p…,18965,8,ParkerCiccone,[]
RT @doctorgis84: #Santelli #Santellidimettiti #Calabria #8luglio #covid19 #coronavirus,4522,1,ladyrosmarino,"['Santelli', 'Santellidimettiti', 'Calabria', '8luglio', 'covid19', 'coronavirus']"
"No, not #mild cases. These are all people who were hospitalised by #Covid19. That isn't mild! Please report accurately.  Warning of serious brain disorders in people with mild coronavirus symptoms  https://t.co/hOwirNrKbA",180,0,DaveOurPlanet,"['mild', 'Covid19']"
"RT @UNEP_Francais: Alors que la pandémie de #COVID19 continue de tuer et de perturber les économies à travers le monde, un nouveau rapport…",561,1,evarev1,['COVID19']
RT @CNNIndonesia: #DataTerbaruCorona 1.853 orang dinyatakan positif #covid19 per Rabu (8/7). Angka positif ini menjadi angka penambahan ter…,154,122,flevrfloraison,"['DataTerbaruCorona', 'covid19']"
#COVID19 #coronavirus  https://t.co/JR4YP5rWb6,3253,0,TRUMP8YEARS2017,"['COVID19', 'coronavirus']"
RT @spiriman: Siento vergüenza de pertenecer a un colectivo donde ALGUNOS tratáis a los pacientes como “apestaos”.  Entiendo vuestro miedo…,244,79,Lemy38863628,[]
#COVID19 is hurting #Children way beyond the threat of illness. Tens of millions are out of school in East-Sthn #Africa. Yet we now know that the evidence points to children being IN the classroom. But why read another tweet &gt;take 90secs &amp; have a listen https://t.co/EDlGX7uRLj https://t.co/eHLJyRgvhk,1758,0,1james_elder,"['COVID19', 'Children', 'Africa']"
RT @BloodDonorsIn: #Delhi Need #Blood Type :  A-positive At : Venkateshwar Dwarka Blood Component : Need Plasma from A+ve/AB+ve #COVID19 re…,157,36,Sampath1986,"['Delhi', 'Blood', 'COVID19']"
"RT @nowackirobin: National Gallery To Reopen LIVE ZOOM Press Conference Gabriele Finaldi Director of National Gallery, question on visitor…",183,1,nowackirobin,[]
RT @RoryBurnside: Yikes. The US just recorded a whopping 60k cases in the last 24 hours. Their biggest single day spike on record. Absolute…,8860,3,jaraparilla,[]
RT @NorthWestDOH: #NorthWestCOVID19| North West province has confirmed 448 new #COVID19 infections. This takes the total number of known CO…,1360,13,TBolokang,"['NorthWestCOVID19', 'COVID19']"
RT @UNICEF: Young people around the world are starting to reimagine the world they want to see after #COVID19 - we just have to listen.   #…,375,87,RevolutionaryEd,['COVID19']
RT @CllrBSilvester: Dam is beginning to burst. Wave after wave of people now calling out #COVID19 for the scam &amp; hoax it is. Folks are waki…,2469,180,GailNie86965461,['COVID19']
RT @foretica: Hoy participamos en la @UA_Universidad en el Programa sobre Fomento de la Responsabilidad Social. @germangranda  analiza los…,6890,1,davlafuente,[]
RT @AOECOIN: #SCIENCE &amp; #COVID19 #Coronavirus FACTS: 1. CO2 CAN damage you if your air has too much 2.LOW O2 levels can damage you also if…,1194,4,wwg1wga369,"['SCIENCE', 'COVID19', 'Coronavirus']"
RT @northglennews: #Covid19 Over 10 000 new coronavirus cases reported: https://t.co/DGTaOOCVMI https://t.co/mDfz9YaRHp,2155,1,Aliman357,['Covid19']
#funny_bones_memes #meme #funny_meme #bones #carry #memes #insta  #chutiya #corona #covid19 #india #twitter #india # #indiancricketteam #teamindia #dhoni #viratkohli #corona #covid19 #tiktok #youtube #carry #minati #carry #youtubevstiktok #lockdown #army #indianarmy https://t.co/uC4UAVLxsR,2,0,FunnybonesM,"['funny_bones_memes', 'meme', 'funny_meme', 'bones', 'carry', 'memes', 'insta', 'chutiya', 'corona', 'covid19', 'india', 'twitter', 'india', 'indiancricketteam', 'teamindia', 'dhoni', 'viratkohli', 'corona', 'covid19', 'tiktok', 'youtube', 'carry', 'minati', 'carry', 'youtubevstiktok', 'lockdown', 'army', 'indianarmy']"
RT @siemaiqbal: Now the clapping has stopped the slapping has started.   #COVID19 https://t.co/2RAl1gRMUm,318,102,charlxtteashton,['COVID19']
RT @SPVelumanicbe: Chaired the review meeting at Secretariat to discuss the #COVID19 control &amp; preventive measures and other development wo…,12,35,Gopalan16118127,['COVID19']
