"RT @ProdPakOfficial: We assure you are not alone!  We present a live session by the esteemed ""Sr. Ayesha Waseem""  this Friday at 9:30pm Sta…",531,10,mahparatkh,[]
#cafe #lockdown #originalart #abstract #artist https://t.co/QyJUsXNR5E,551,0,liminality22,"['cafe', 'lockdown', 'originalart', 'abstract', 'artist']"
RT @pinkybarks: People imprisoned in highrise public housing unable to access basic needs. @abcnews interviews a restaurant patron in South…,49,1,RgbDesigner,[]
Hope the backwaters of #Alappuzha are healing well.   #Kerala #Lockdown #NatureHealing #WaterPollution,472,0,nalitics,"['Alappuzha', 'Kerala', 'Lockdown', 'NatureHealing', 'WaterPollution']"
Again Lockdown in West Bengal || For Full Story https://t.co/84CPDZj036  #lockdown #Lockdown5 #lockdowninkolkata #LockdowninWB #COVID19 #coronavirus #CoronavirusInIndia,33,0,aarohi_news,"['lockdown', 'Lockdown5', 'lockdowninkolkata', 'LockdowninWB', 'COVID19', 'coronavirus', 'CoronavirusInIndia']"
Using Online Therapy for Eradicating Online Addiction https://t.co/oM9Ci7GO7K find out more about healerplus @https://www.healerplus. #Healthcare #Online #Sessions #Credibility #CoronaVirus #COVID19 #Lockdown #Quarantine #Patients #Therapists #Healers #Onlinetherapy #therapy https://t.co/zhVvUABnv1,41,0,HealerPlusInc,"['Healthcare', 'Online', 'Sessions', 'Credibility', 'CoronaVirus', 'COVID19', 'Lockdown', 'Quarantine', 'Patients', 'Therapists', 'Healers', 'Onlinetherapy', 'therapy']"
RT @CllrBSilvester: Dam is beginning to burst. Wave after wave of people now calling out #COVID19 for the scam &amp; hoax it is. Folks are waki…,801,183,BratfudRecusant,['COVID19']
RT @Johngodwyer1: This is what I have been up to during #Lockdown – my 5th and latest book. Have just put the finishing touches to 50 Best…,370,1,BrendanMcGrath8,['Lockdown']
RT @zero21toyou: Small steps. Incremental ways for the government to rule your life. “it’s just a mask” “it’s just a card” #covid19 #corona…,64,1,stpot99,['covid19']
Need some mid-week #PetTherapy?  Meet Sonny in the first of our #lockdown pet profiles: https://t.co/jiJzvNZAOv  #WFH #internalcomms https://t.co/XNWDEvzD6k,1264,0,RED_IC_Agency,"['PetTherapy', 'lockdown', 'WFH', 'internalcomms']"
RT @archisha_batra: #cancelfinalyearexam #COVID19 #lockdown #ugc_cancel_exam #StudentsLivesMatters,131,1,RaviTri79656562,"['cancelfinalyearexam', 'COVID19', 'lockdown', 'ugc_cancel_exam', 'StudentsLivesMatters']"
RT @PIB_India: PM @narendramodi to interact with representatives from #Varanasi based NGOs tomorrow  PM to discuss and showcase the efforts…,125754,13,rajyasabhatv,['Varanasi']
"The #lockdown restrictions are being eased, but it’s still important to keep safety in mind. Are you ready to deal with #COVID-19 &amp; keep customers safe? Thermal cameras can help by recording temperatures from a distance with incredible accuracy: https://t.co/vwNHdkWFKS https://t.co/4Au0mf5AYG",292,0,AdmiralSSLtd,"['lockdown', 'COVID']"
#cancelfinalyearexam #COVID19 #lockdown #ugc_cancel_exam #StudentsLivesMatters https://t.co/hnSpZEAw2S,11,1,archisha_batra,"['cancelfinalyearexam', 'COVID19', 'lockdown', 'ugc_cancel_exam', 'StudentsLivesMatters']"
Business Insight | Find out how the week-long #lockdown in #Aurangabad will impact automakers like #Skoda and #BajajAuto. Watch here: https://t.co/njzN6nXAUv  @Bajaj_Ltd @SkodaIndia #Maharashtra #Auto #Covid19 https://t.co/myPoGJJK0t,873103,0,moneycontrolcom,"['lockdown', 'Aurangabad', 'Skoda', 'BajajAuto', 'Maharashtra', 'Auto', 'Covid19']"
"#RETWEETED #SPECIALLY #TO :#THE #HON'#LE #CHIEF-#MINISTER #OF #WEST #BENGAL,#SMT.#MAMATA #BANDYOPADHYAY,#REGUARDNG #REDUCTION #OF #CESC #BILLS,#TO #YOUR #KINDSELF #AS #LOCKDOWN #FOR #ANOTHER 14 #DAYS #BEEN #DECLARED #WEF. 9#TH-#NEXT #OF #JULY,#SINCERELY,#DRSURAJITROY2.08.07.2020.",30,0,DrSurajitRoy2,"['RETWEETED', 'SPECIALLY', 'TO', 'THE', 'HON', 'LE', 'CHIEF', 'MINISTER', 'OF', 'WEST', 'BENGAL', 'SMT', 'MAMATA', 'BANDYOPADHYAY', 'REGUARDNG', 'REDUCTION', 'OF', 'CESC', 'BILLS', 'TO', 'YOUR', 'KINDSELF', 'AS', 'LOCKDOWN', 'FOR', 'ANOTHER', 'DAYS', 'BEEN', 'DECLARED', 'WEF', 'NEXT', 'OF', 'JULY', 'SINCERELY', 'DRSURAJITROY2']"
"RT @Bishop64: Business owner on QLD Sunshine Coast today, heard someone having a problem in laundromat next door, went into help. This pers…",1106,19,murraywho52,[]
RT @JohnSarich2: People are whinging about 5 days of being kicked up. These stoic kids put you all to shame. #lockdown #auspol https://t.co…,27,270,Stephen67843639,"['lockdown', 'auspol']"
"RT @RT_com: Thousands of protesters gathered outside the #Serbian parliament in #Belgrade, opposing the announcement of a new #COVID19 #loc…",182,141,I_Love_Truth,"['Serbian', 'Belgrade', 'COVID19']"
@GNorthSO @BevBoothJones1 @Shannag67 @Tesco #Creatureofhabit #lockdown https://t.co/hQjFkxB1UL,778,0,JLStonewater,"['Creatureofhabit', 'lockdown']"
"RT @ChristiGabbitas: @HarperNorthUK Reader, writer, founder &amp; volunteer of @ChildrensLFests currently running an initiative for children, y…",56,7,PoemsPicturesP,[]
That was a weird telephone convo:  Basically told #Covid19 and #Lockdown didn't really impact anything and fears about identity theft are baseless.  I don't regard the person to be stupid but those have to be the dumbest things I've heard (so far) today.,3881,0,phil__stanmore,"['Covid19', 'Lockdown']"
"""India issued well over 4,000 different rules during the first two months of lockdown, many of those rules being corrections of many of those rules""   #lockdown #COVID19 #indiangovt",14,0,_amitjadhav31,"['lockdown', 'COVID19', 'indiangovt']"
"RT @IanCameron23: This afternoon @afriforum and @Saai_org will be presenting an analysis on #FarmMurders and #FarmAttacks in 2020, includin…",404,94,EvaGilberd,"['FarmMurders', 'FarmAttacks']"
RT @ShashiTharoor: And they are matched by the vigorous &amp; creative social media team under the energetic @rohanrgupta. In these #Lockdown d…,27,289,ShreyasRajan3,['Lockdown']
